views,likes,comments,watch_time_minutes,video_length_minutes,subscribers,ad_revenue_usd,year,month,day,category_Entertainment,category_Gaming,category_Lifestyle,category_Music,category_Tech,device_Mobile,device_TV,device_Tablet,country_CA,country_DE,country_IN,country_UK,country_US
9936,1221,320,26497.21418351538,2.862136598361809,228086,203.178236677856,2024,9,24,1,0,0,0,0,0,1,0,0,0,1,0,0
10017,642,346,15209.747444641736,23.73806859600372,736015,140.88050802739548,2024,9,22,0,1,0,0,0,0,0,1,1,0,0,0,0
10097,1979,187,57332.65849825838,26.200633602012736,240534,360.1340075441641,2024,11,21,0,0,0,0,0,0,1,0,1,0,0,0,0
10034,1191,242,31334.517770614395,11.770340066666662,434482,224.6382614997087,2025,1,28,1,0,0,0,0,1,0,0,0,0,0,1,0
9889,1858,477,15665.666433937964,6.6358538634662505,42030,165.51438759860426,2025,4,28,0,0,0,0,0,1,0,0,1,0,0,0,0
10002,843,159,35131.75622783969,12.491826162893895,541268,234.9659962741677,2025,3,31,0,0,0,1,0,0,1,0,1,0,0,0,0
9989,1944,160,35380.070907739406,6.520902680751886,193736,255.00941180833848,2024,12,10,0,0,0,1,0,1,0,0,0,0,1,0,0
10051,784,458,19263.21257971425,24.58612089884761,823662,164.53345487622306,2025,4,5,1,0,0,0,0,0,0,1,0,0,0,0,1
9934,292,88,0.0,5.946665704433521,58437,336.40985615926195,2025,2,17,1,0,0,0,0,0,0,0,0,0,0,1,0
10051,0,61,40011.57994450514,24.45472328947879,103872,246.71188251761748,2025,4,16,0,0,0,0,1,0,0,1,0,1,0,0,0
9907,0,184,54008.29683210189,8.397639439590337,226781,330.2197625661647,2025,1,5,0,1,0,0,0,1,0,0,0,0,0,0,1
10052,631,406,40853.45501270876,20.334148516193117,237553,262.8032263228001,2025,1,8,0,0,0,0,1,1,0,0,0,0,0,1,0
9990,1225,236,33689.049205904186,9.152332026317804,499149,235.9907725301537,2024,6,11,0,0,0,0,0,0,0,1,0,0,0,1,0
10106,1450,416,39394.25251716211,26.37459200422889,830553,270.45344036769865,2025,5,16,0,0,0,1,0,0,1,0,0,0,0,0,1
9999,589,488,22777.413964821637,15.629542330829876,258755,177.99442912467404,2025,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1
9979,689,439,19196.04535590523,12.041984898658436,948421,161.88228614381467,2025,5,19,0,0,0,0,1,1,0,0,0,0,0,1,0
10024,539,459,38020.72121761303,14.5459407463855,294403,248.63200403192369,2025,3,8,0,0,0,0,1,1,0,0,0,0,0,0,0
10070,351,444,21044.395884326328,19.69320562323585,33467,165.3471581101835,2025,3,16,0,0,0,1,0,1,0,0,0,0,1,0,0
