video_id,date,views,likes,comments,watch_time_minutes,video_length_minutes,subscribers,category,device,country,ad_revenue_usd
vid_3092,2024-09-24 10:50:40.993199,9936,1221.0,320.0,26497.21418351538,2.8621365983618094,228086,Entertainment,TV,IN,203.17823667785598
vid_3459,2024-09-22 10:50:40.993199,10017,642.0,346.0,15209.747444641735,23.738068596003718,736015,Gaming,Tablet,CA,140.88050802739548
vid_4784,2024-11-21 10:50:40.993199,10097,1979.0,187.0,57332.65849825838,26.200633602012736,240534,Education,TV,CA,360.1340075441641
vid_4078,2025-01-28 10:50:40.993199,10034,1191.0,242.0,31334.517770614395,11.770340066666662,434482,Entertainment,Mobile,UK,224.6382614997087
vid_3522,2025-04-28 10:50:40.993199,9889,1858.0,477.0,15665.666433937964,6.6358538634662505,42030,Education,Mobile,CA,165.51438759860426
vid_5000,2025-03-31 10:50:40.993199,10002,843.0,159.0,35131.75622783969,12.491826162893897,541268,Music,TV,CA,234.9659962741677
vid_2041,2024-12-10 10:50:40.993199,9989,1944.0,160.0,35380.070907739406,6.520902680751886,193736,Music,Mobile,IN,255.00941180833848
vid_3623,2025-04-05 10:50:40.993199,10051,784.0,458.0,19263.212579714254,24.58612089884761,823662,Entertainment,Tablet,US,164.53345487622306
vid_750,2025-02-17 10:50:40.993199,9934,292.0,88.0,,5.946665704433521,58437,Entertainment,Desktop,UK,336.40985615926195
vid_4434,2025-04-16 10:50:40.993199,10051,,61.0,40011.57994450514,24.45472328947879,103872,Tech,Tablet,DE,246.71188251761748
vid_3493,2025-01-05 10:50:40.993199,9907,,184.0,54008.29683210189,8.397639439590337,226781,Gaming,Mobile,US,330.2197625661647
vid_2400,2025-01-08 10:50:40.993199,10052,631.0,406.0,40853.45501270876,20.334148516193114,237553,Tech,Mobile,UK,262.8032263228001
vid_1004,2024-06-11 10:50:40.993199,9990,1225.0,236.0,33689.049205904186,9.152332026317804,499149,Education,Tablet,UK,235.99077253015366
vid_4773,2025-05-16 10:50:40.993199,10106,1450.0,416.0,39394.25251716211,26.37459200422889,830553,Music,TV,US,270.45344036769865
vid_3604,2025-02-01 10:50:40.993199,9999,589.0,488.0,22777.413964821633,15.629542330829876,258755,Education,Tablet,US,177.99442912467404
vid_2109,2025-05-19 10:50:40.993199,9979,689.0,439.0,19196.04535590523,12.041984898658436,948421,Tech,Mobile,UK,161.88228614381467
vid_671,2025-03-08 10:50:40.993199,10024,539.0,459.0,38020.72121761303,14.5459407463855,294403,Tech,Mobile,AU,248.63200403192366
vid_448,2025-03-16 10:50:40.993199,10070,351.0,444.0,21044.395884326328,19.693205623235855,33467,Music,Mobile,IN,165.3471581101835
vid_1272,2024-07-27 10:50:40.993199,10026,1057.0,339.0,34851.09965067264,13.672055451668154,753781,Music,Tablet,AU,240.5396970631208
vid_2921,2025-01-18 10:50:40.993199,10094,303.0,160.0,47507.54331407403,22.688333429818112,981054,Tech,Mobile,CA,284.5274593240006
vid_4990,2024-11-27 10:50:40.993199,10092,221.0,330.0,60498.5780532936,16.93223026934307,173160,Lifestyle,Tablet,DE,347.27622232764634
vid_4328,2025-03-25 10:50:40.993199,9943,1345.0,60.0,17886.978218835273,20.039457116128034,338260,Entertainment,TV,IN,160.283964855396
vid_575,2024-12-03 10:50:40.993199,10073,489.0,245.0,26111.17552465211,3.6648908969066825,504852,Lifestyle,TV,US,188.20187419253202
vid_4361,2024-06-12 10:50:40.993199,9804,1010.0,338.0,,11.098399717576278,156446,Lifestyle,Tablet,UK,279.1120966659737
vid_2344,2025-06-02 10:50:40.993199,9774,1856.0,69.0,53348.927903338576,13.644730911276898,364772,Tech,Mobile,DE,335.5274586676025
vid_801,2025-05-17 10:50:40.993199,9794,835.0,391.0,30449.258201699828,23.10423728031032,10301,Education,Desktop,CA,215.65639742553594
vid_539,2025-03-17 10:50:40.993199,9960,618.0,383.0,39763.618157009536,8.99453638079272,618908,Music,TV,DE,256.56705074098124
vid_2710,2025-01-31 10:50:40.993199,9942,1027.0,102.0,48958.79642973693,6.459105763698017,634747,Education,Desktop,CA,302.02424080337124
vid_2836,2024-11-22 10:50:40.993199,10125,1174.0,65.0,41767.73518443972,27.151940498109955,271933,Music,Desktop,CA,270.965836667215
vid_1009,2025-03-31 10:50:40.993199,10053,1628.0,413.0,19785.20539486253,29.894391093308307,553639,Entertainment,Desktop,DE,180.7375238946771
vid_4998,2025-01-22 10:50:40.993199,9795,1828.0,129.0,27373.471835965636,22.90109697316303,720229,Tech,Tablet,CA,213.72465778090125
vid_4583,2024-11-02 10:50:40.993199,9780,308.0,157.0,52937.92454275321,21.95479042516857,711242,Education,Tablet,AU,308.52749667210065
vid_1207,2025-01-26 10:50:40.993199,9920,1799.0,105.0,34721.3041446229,22.691509923745556,415686,Entertainment,Desktop,DE,248.10664482205178
vid_2435,2025-05-22 10:50:40.993199,10021,1946.0,219.0,45743.52793488864,11.444497533102647,306189,Music,Mobile,CA,305.08346078958914
vid_334,2025-05-23 10:50:40.993199,9949,1662.0,,33385.208801180954,2.30007643671923,803842,Tech,Tablet,CA,241.3914944267467
vid_2500,2024-09-10 10:50:40.993199,10052,1990.0,66.0,52577.6160596301,7.230923033178,593102,Entertainment,Mobile,UK,335.59111387268973
vid_842,2025-01-01 10:50:40.993199,10247,1176.0,170.0,16581.21641419844,3.27958059138886,632652,Gaming,TV,AU,154.6978099342353
vid_3785,2024-06-26 10:50:40.993199,9928,1535.0,408.0,22048.376285371207,26.606449507838494,191029,Music,Desktop,UK,189.07166415303746
vid_3485,2024-07-04 10:50:40.993199,9868,626.0,157.0,16920.219064124816,23.178720300615133,91026,Music,Mobile,AU,144.64483172473606
vid_1477,2025-01-30 10:50:40.993199,9893,220.0,369.0,53450.496988572144,3.5426352913583643,205569,Tech,Mobile,DE,313.664043852459
vid_261,2024-10-27 10:50:40.993199,10035,1259.0,151.0,,18.099680847122077,257566,Tech,Desktop,DE,147.8805150030548
vid_2414,2024-12-23 10:50:40.993199,9968,,323.0,57697.2461683239,14.537681213395604,697130,Gaming,TV,CA,349.579265625342
vid_2365,2024-07-26 10:50:40.993199,10085,809.0,167.0,19494.334122331034,11.314129719801755,245573,Lifestyle,Desktop,AU,161.22840328848727
vid_172,2024-12-20 10:50:40.993199,10133,1699.0,299.0,15595.629200678202,11.165989043963581,528998,Music,Mobile,IN,160.66339274009857
vid_2080,2024-07-24 10:50:40.993199,10098,1516.0,131.0,23557.56902504699,7.66162721633952,660932,Education,Mobile,AU,191.9851177075029
